Item,Price,Source
PCB + Shipping - Coupons ,28.74,JLCPCB
KeyCaps ,15.04,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/gengar-anime-keycap-set/
Hot-swap (pack of 10) x7 , 5.2,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/kailh-hot-swap-socket/?attribute_pa_variations=white
Switches  (pack of 10) x 8 ,25.2,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/hmx-xinhai-switch/?attribute_pa_key-switches=hmx-xinhai-45g
 Stabilizers,10.76,https://meckeys.com/shop/accessories/keyboard-accessories/more/glorious-goat-stabilizers/
Meckey shipping ,1.1, meckeys.com
Expander x 2 ,6.22,https://robu.in/product/pca9555dwr-texas-instruments-400khz-soic-24-300mil-i-o-expanders-rohs/
 XIAO BLE nRF52840 ,12.4,https://robu.in/product/seeed-studio-xiao-ble-nrf52840/
  0.91 OLED ,1.93,https://robu.in/product/blue-oled-display-module/
   Rotor Encoder x 3  ,1.36,https://robu.in/product/m274-360-degree-rotary-encoder-module-brick-sensor/?gad_source=1&gad_campaignid=20363337560&gbraid=0AAAAADvLFWcBh7394q4T97b_tz-uHZen0&gclid=Cj0KCQjw4orUBhCjARIsAIbF3qxV2X32v_dV24K8ymAecPKpoQ2W7oZQI5S6fIRl1lJOTUxK9ed91Z0aAgdcEALw_wcB
 On-Off switch ,1.12,https://robu.in/product/os202011ma0qn1-ck-100ma-dpdt-12v-10000-times-plugin-slide-switches-rohs/
2M OHM Resistor ,0.13,https://robu.in/product/crcw12062m20fkea-vishay-smd-chip-resistor-2-2-mohm-%c2%b1-1-250-mw-1206-3216-metric-thick-film-general-purpose/
806k resistor  ,0.13,https://robu.in/product/rc0402fr-07806kl-yageo-smd-chip-resistor-806-kohm-%c2%b1-1-63-mw-0402-1005-metric-thick-film-general-purpose/
 Robu shipping ,1.1, robu.in
    Solder Paste for SND components ,2.7 ,https://www.amazon.in/gp/product/B0GY879KCL/ref=ox_sc_act_title_1?smid=A2TAUOL95KBX1X&psc=1
1N4148W-T4 diodes (Pack of 15) X 5 ( used amazon beacuse wasn't avilable anywhere else) ,11.78,https://www.amazon.in/gp/product/B0FZL2D1GG/ref=ox_sc_act_title_2?smid=A28WR0HSDEABON&psc=1
Total ,115.2,
